fileName,pinataURI
rarepizzas-unopenedbox.38.png,https://gateway.pinata.cloud/ipfs/QmRbhzSiUz7zWPhHra7TazUXdkWtg7dRhQNuTyhJk3nVWg
rarepizzas-unopenedbox.39.png,https://gateway.pinata.cloud/ipfs/QmPMprTeMBs5U7rzKBx9LwY5AM25k78fgKyKH3utL8ZS5F
rarepizzas-unopenedbox.40.png,https://gateway.pinata.cloud/ipfs/QmVgSoDhfh1wFEf2cR1bWWvscfebZkF8a4kG1BxsVFUdJK
rarepizzas-unopenedbox.41.png,https://gateway.pinata.cloud/ipfs/QmWtvetN87YxG3VuLXqac1b3NALyosAC5VBCwcY5DBBuFd
rarepizzas-unopenedbox.42.png,https://gateway.pinata.cloud/ipfs/QmRwHzpKVUjZ8ssKiBTgWcHrwn5Q2uNpksVwztVxvpGKHU
rarepizzas-unopenedbox.43.png,https://gateway.pinata.cloud/ipfs/QmRNo93qa1JW529e8WXaJ6JzpynWUq5HbZBKD2HeBKnA88
rarepizzas-unopenedbox.44.png,https://gateway.pinata.cloud/ipfs/QmXkL3fT7znYTbNhfkHy5rQ6mXf6okeSY4t6WfzSkQDLFp
rarepizzas-unopenedbox.45.png,https://gateway.pinata.cloud/ipfs/Qmarw69shhXnKvLHsQt7ixEXWWPLXz45TzK4SmpmcjSrSt
rarepizzas-unopenedbox.46.png,https://gateway.pinata.cloud/ipfs/QmaAUtGHb3bRyuSpnzxnKZSfAt2Zx2iNqcdcBZJHe21Jtw
rarepizzas-unopenedbox.47.png,https://gateway.pinata.cloud/ipfs/QmSaciSCjcm43W1q5LeT7jfsuUi5D1gUCAVG67uSrXSVC7
rarepizzas-unopenedbox.48.png,https://gateway.pinata.cloud/ipfs/QmR3neR1ygpYL5pwTfEtLQHvJmU1jtpSFdR89FHJ3rjvmG
rarepizzas-unopenedbox.49.png,https://gateway.pinata.cloud/ipfs/QmcX7hBARtKS7pmKsTKdDu4Z34nB55kyVCDgmDrGsr5vHg
rarepizzas-unopenedbox.50.png,https://gateway.pinata.cloud/ipfs/QmZS37qmcgZ919HfpKQggkfJVfT3frQ2vRqZnvoYb6quZY
rarepizzas-unopenedbox.51.png,https://gateway.pinata.cloud/ipfs/QmW73VzNaKPX23EM2Npa737dHBZYzWv1F4MMxn1czsozLn
rarepizzas-unopenedbox.52.png,https://gateway.pinata.cloud/ipfs/Qme9QQ1c8uATq2g1AGHoKDn7sbkxBLyKNzoA4zCTx5j2W2
rarepizzas-unopenedbox.53.png,https://gateway.pinata.cloud/ipfs/QmQ6uNjYE3sctbX5CgMEE6Dw6J23r9yPQvoNzRfdCJtjvK
rarepizzas-unopenedbox.54.png,https://gateway.pinata.cloud/ipfs/QmYg5LCwzeyP4YuBv9vm9nuGPrrwnHKuxYv5fBwojdT8qz
rarepizzas-unopenedbox.55.png,https://gateway.pinata.cloud/ipfs/QmaJhBqu4AJhrHSYqRCXz6v238NyZKTLSULsYYs1oaUZ8h
rarepizzas-unopenedbox.56.png,https://gateway.pinata.cloud/ipfs/QmUUvmAaybPU8np93FRz8t76LfnsovV3SokiCtEgEfCygf
rarepizzas-unopenedbox.57.png,https://gateway.pinata.cloud/ipfs/Qmc4KZRAaSQGQiV7mYpk4TeJQD46LLhVU7ZYRKypvuuePr
rarepizzas-unopenedbox.58.png,https://gateway.pinata.cloud/ipfs/QmVLz6TzkMMctQ3Zs6EKsPgpz5D9NGsM466pF5xW9SEhaV
rarepizzas-unopenedbox.59.png,https://gateway.pinata.cloud/ipfs/QmWW132yD2wkhAHzFb5XkLsmvZoAnmnEusRw3k3Y6yLXcU
rarepizzas-unopenedbox.60.png,https://gateway.pinata.cloud/ipfs/QmYvNKEcFMXAncpX4HHuVNrJrLBGh2iwombz4CVLJBheAU
rarepizzas-unopenedbox.61.png,https://gateway.pinata.cloud/ipfs/QmVPkX8LLqJuRZwYDd5cpxTxRpqZoHJw17AkDVAPXvosiR
rarepizzas-unopenedbox.62.png,https://gateway.pinata.cloud/ipfs/Qmf63kqBqXvqLdHgP9zEomTDQxP2gcf1wjYT4sDEXXK93Y
rarepizzas-unopenedbox.63.png,https://gateway.pinata.cloud/ipfs/QmVfBXkSzZWnf4nNHEE5cZLuWABhin4xgypRwjHFBXAJJM
rarepizzas-unopenedbox.64.png,https://gateway.pinata.cloud/ipfs/QmbTC2bgMnYCY3gDLAjStotUpEXgptCcgjPzPamgCWJoR2
rarepizzas-unopenedbox.65.png,https://gateway.pinata.cloud/ipfs/QmetdFn5TAiJPS5YseGRZGy7cGhWnL6z3kNFUbTTxhjLnX
rarepizzas-unopenedbox.66.png,https://gateway.pinata.cloud/ipfs/QmeJBew8G2Rva7MC7eUQreeL46ZUUFNFTKpm4HXVCf2EUx
rarepizzas-unopenedbox.67.png,https://gateway.pinata.cloud/ipfs/QmTzyvgmsCVSvUw9DdshzrrLUvvQM3mCnbY78yAVG86e1f
rarepizzas-unopenedbox.68.png,https://gateway.pinata.cloud/ipfs/QmQXhFazWKgfw1j44zbV5HtuvVsX4v4MtgZ4M5jPh8LMzr
rarepizzas-unopenedbox.69.png,https://gateway.pinata.cloud/ipfs/QmWmXP3CAEUMW1mvyR7DtXCzf6C572BoF5M9kaCzeVXPEB
